,user_id,recomendations
0,1,"[874972, 1070803, 1127831, 856942, 5577022]"
1,2,"[1021324, 1070803, 1044078, 1053690, 12263788]"
2,3,"[874972, 1029743, 981760, 1082185, 951590]"
3,4,"[1082627, 872137, 1082185, 891423, 883932]"
4,5,"[874972, 1082185, 1106523, 951590, 1127831]"
5,6,"[950638, 868888, 1070803, 897088, 6548453]"
6,7,"[5995129, 872137, 1070803, 1110572, 1082185]"
7,8,"[919766, 1070803, 854852, 12302069, 872137]"
8,9,"[874972, 872137, 918046, 1082185, 962229]"
9,10,"[874972, 1029743, 1082185, 951590, 1127831]"
10,11,"[874972, 1029743, 1082185, 951590, 1127831]"
11,12,"[874972, 1029743, 951590, 1082185, 1127831]"
12,13,"[1075007, 1070803, 916122, 862070, 898466]"
13,14,"[1013928, 1070803, 1082185, 1082310, 995242]"
14,15,"[874972, 872137, 1070803, 1082185, 1070820]"
15,16,"[874972, 872137, 919534, 923149, 12263788]"
16,17,"[948670, 872137, 1070803, 1099164, 6533362]"
17,18,"[874972, 1070803, 951590, 961620, 938118]"
18,19,"[826666, 1070803, 951590, 1012052, 999104]"
19,20,"[874972, 872137, 1070803, 944454, 8090536]"
20,21,"[852015, 872137, 1082185, 1031864, 934697]"
21,22,"[956599, 1107760, 1070803, 1104349, 1018339]"
22,23,"[1034176, 872137, 820486, 1138858, 1075368]"
23,24,"[844462, 872137, 1070803, 1036501, 1008814]"
24,25,"[906844, 1070803, 951590, 1075786, 1101567]"
25,26,"[5995129, 872137, 1070803, 1022254, 995242]"
26,27,"[968072, 872137, 1070803, 9419470, 1017982]"
27,28,"[8203342, 872137, 1117219, 854900, 6534030]"
28,29,"[878715, 1082185, 1127831, 872137, 899624]"
29,30,"[1025535, 872137, 1082185, 1022254, 859075]"
30,31,"[933354, 1070803, 951590, 968992, 1031906]"
31,32,"[959737, 872137, 1070803, 1003649, 1094924]"
32,33,"[836445, 872137, 1117219, 871756, 953539]"
33,34,"[1000753, 872137, 1082185, 1044078, 919534]"
34,35,"[874972, 872137, 1068957, 1053690, 6464165]"
35,36,"[970747, 868888, 1070803, 865705, 969568]"
36,37,"[948670, 872137, 1082185, 1067695, 1056212]"
37,38,"[874972, 1029743, 951590, 1082185, 1127831]"
38,39,"[970747, 1029743, 5569230, 7433888, 1102927]"
39,40,"[1075007, 1048237, 1070803, 1083043, 1055504]"
40,41,"[12262830, 872137, 1070803, 827806, 1120009]"
41,42,"[968072, 872137, 1070803, 1060673, 839656]"
42,43,"[874972, 1082185, 951590, 1029743, 1106523]"
43,44,"[836445, 872137, 1070803, 1009187, 921836]"
44,45,"[874972, 1029743, 1082185, 951590, 1127831]"
45,46,"[12810464, 1070803, 1117219, 1121360, 5570383]"
46,47,"[5568758, 820486, 911017, 904813, 883932]"
47,48,"[874972, 1029743, 951590, 1082185, 1127831]"
48,49,"[1110111, 1070803, 1029112, 1139782, 5569471]"
49,50,"[874972, 1029743, 951590, 1082185, 1127831]"
50,51,"[879734, 918046, 1070803, 1101174, 898510]"
51,52,"[1048257, 1070803, 916122, 993592, 878026]"
52,53,"[906335, 872137, 1127831, 5569471, 1087102]"
53,54,"[874972, 1029743, 1082185, 951590, 1127831]"
54,55,"[874972, 872137, 1070803, 844165, 988791]"
55,56,"[849202, 1070803, 1082185, 963835, 1023226]"
56,57,"[968072, 1070803, 951590, 986912, 868423]"
57,58,"[9677366, 911017, 951590, 1054216, 915493]"
58,59,"[12810391, 872137, 1070803, 972931, 898121]"
59,60,"[874972, 1082185, 1106523, 951590, 1127831]"
60,61,"[874972, 1029743, 1082185, 951590, 1127831]"
61,62,"[874972, 872137, 919534, 1082185, 1127831]"
62,63,"[874972, 872137, 919534, 1062572, 1125123]"
63,64,"[1013928, 1070803, 1082185, 949023, 1093413]"
64,65,"[1103808, 872137, 1070803, 906262, 962229]"
65,66,"[874972, 872137, 1070803, 1029743, 899624]"
66,67,"[1034176, 1070803, 1117219, 6039687, 1104414]"
67,68,"[1134483, 1070803, 1127831, 1085604, 1037894]"
68,69,"[982469, 1070803, 1127831, 1044188, 5570109]"
69,70,"[874972, 872137, 919534, 1039156, 1130375]"
70,71,"[917384, 872137, 1070803, 9836106, 1056509]"
71,72,"[906335, 1029743, 1082185, 8019681, 1073775]"
72,73,"[874972, 1029743, 951590, 1082185, 1127831]"
73,74,"[933354, 872137, 1070803, 986912, 1058021]"
74,75,"[874972, 872137, 919534, 1082185, 1127831]"
75,76,"[874972, 872137, 919534, 7024830, 1016782]"
76,77,"[866548, 1070803, 951590, 849578, 9677874]"
77,78,"[919766, 872137, 1070803, 1033707, 5570408]"
78,79,"[970866, 1117219, 7024847, 1010164, 1127328]"
79,80,"[1013928, 1070803, 1048237, 1055504, 844179]"
80,81,"[982469, 1070803, 5569230, 898847, 1093413]"
81,82,"[849202, 872137, 919534, 1084036, 880150]"
82,83,"[1048257, 872137, 1070803, 1055425, 912914]"
83,84,"[874972, 872137, 1070803, 5569374, 951590]"
84,85,"[1069312, 1048237, 1070803, 13877192, 864312]"
85,86,"[1082627, 1117219, 1127831, 865026, 820301]"
86,87,"[1048257, 872137, 919534, 8293385, 881883]"
87,88,"[833940, 1068957, 1070803, 820486, 965982]"
88,89,"[874972, 1029743, 951590, 1082185, 1127831]"
89,90,"[874972, 1029743, 951590, 1082185, 1127831]"
90,91,"[1048507, 872137, 1127831, 8119157, 1067419]"
91,92,"[1048257, 872137, 1070803, 923746, 871061]"
92,93,"[874972, 1029743, 1082185, 951590, 1127831]"
93,94,"[12262830, 872137, 919534, 979707, 1065979]"
94,95,"[959737, 1070803, 894360, 945652, 1138858]"
95,96,"[874972, 951590, 995242, 1082185, 1127831]"
96,97,"[12262830, 1117219, 1070803, 1075368, 835618]"
97,98,"[1013928, 872137, 820486, 911703, 928049]"
98,99,"[948670, 1048237, 918046, 999563, 916487]"
99,100,"[906335, 872137, 1082185, 903233, 885290]"
100,101,"[12731432, 1070803, 1127831, 1119089, 1119112]"
101,102,"[874972, 1082185, 1106523, 951590, 1127831]"
102,103,"[874972, 872137, 1082185, 961846, 1106523]"
103,104,"[906335, 1070803, 951590, 1011300, 9242918]"
104,105,"[848029, 1070803, 911017, 1135868, 919596]"
105,106,"[906844, 872137, 951590, 5569230, 999104]"
106,107,"[879734, 872137, 1070803, 899624, 1029743]"
107,108,"[970866, 1070803, 1068957, 8290421, 1082185]"
108,109,"[906844, 1082185, 951590, 1070803, 12731436]"
109,110,"[1118623, 1070803, 1127831, 1044078, 1082185]"
110,111,"[1129049, 1070803, 951590, 1106523, 9859183]"
111,112,"[849202, 872137, 1070803, 1011300, 5569845]"
112,113,"[933354, 1068957, 1106523, 1018339, 833458]"
113,114,"[948670, 1068957, 1082185, 5568489, 1046689]"
114,115,"[1082627, 1070803, 911017, 989275, 1077359]"
115,116,"[1014732, 919534, 1082185, 872137, 1104343]"
116,117,"[948670, 911017, 1070803, 924423, 901062]"
117,118,"[1048257, 872137, 1070803, 1083043, 953677]"
118,119,"[919766, 872137, 1082185, 871722, 1138467]"
119,120,"[874972, 1029743, 1082185, 951590, 1127831]"
120,121,"[879734, 1070803, 1082185, 929726, 951197]"
121,122,"[906335, 872137, 1070803, 1086119, 937614]"
122,123,"[849202, 1070803, 1127831, 1119761, 1070702]"
123,124,"[874972, 872137, 1070803, 1037840, 833025]"
124,125,"[1057749, 1070803, 1106523, 1121694, 934399]"
125,126,"[863762, 872137, 1070803, 1093603, 995242]"
126,127,"[970747, 1070803, 5569230, 901543, 886481]"
127,128,"[1129049, 872137, 1070803, 1015296, 1082185]"
128,129,"[1075007, 872137, 1070803, 1082185, 916993]"
129,130,"[874972, 1029743, 1082185, 951590, 1127831]"
130,131,"[1118946, 1070803, 951590, 6979545, 1026209]"
131,132,"[1108094, 1070803, 1048237, 999198, 1110572]"
132,133,"[1048257, 1070803, 951590, 878026, 1013531]"
133,134,"[1021324, 1070803, 1126899, 935570, 5568072]"
134,135,"[874972, 872137, 1070803, 862349, 852360]"
135,136,"[1129049, 1070803, 951590, 8090521, 8090537]"
136,137,"[874972, 1070803, 951590, 1082185, 1126899]"
137,138,"[9677366, 1070803, 916122, 13841744, 1101706]"
138,139,"[1021324, 872137, 1070803, 1082185, 1058997]"
139,140,"[1013928, 1070803, 1127831, 879755, 1037840]"
140,141,"[874972, 1029743, 951590, 1082185, 1127831]"
141,142,"[948670, 872137, 1070803, 1074524, 1082212]"
142,143,"[947858, 1070803, 1067443, 9297403, 953104]"
143,144,"[917384, 1070803, 1127831, 925862, 1057377]"
144,145,"[1057749, 1070803, 1127831, 1029743, 872137]"
145,146,"[1129049, 872137, 1070803, 834117, 1101175]"
146,147,"[12731432, 872137, 1082185, 877447, 983584]"
147,148,"[1069312, 872137, 1070803, 1003487, 5568489]"
148,149,"[1079913, 1070803, 1029743, 6533936, 821200]"
149,150,"[899019, 872137, 919534, 851129, 937928]"
150,151,"[848029, 1070803, 1127831, 995242, 916122]"
151,152,"[1000753, 872137, 1070803, 1037332, 1128744]"
152,153,"[874972, 872137, 1082185, 897954, 819765]"
153,154,"[874972, 1029743, 1127831, 1082185, 951590]"
154,155,"[860248, 7024847, 1070803, 12648296, 830887]"
155,156,"[863762, 820486, 918046, 1085604, 1084177]"
156,157,"[12262778, 872137, 1070803, 9296804, 838186]"
157,158,"[874972, 872137, 1082185, 1025641, 977543]"
158,159,"[12810389, 1082185, 1127831, 1086483, 940766]"
159,160,"[899019, 872137, 1082185, 1135834, 1087102]"
160,161,"[917384, 1117219, 1070803, 5568732, 1092937]"
161,162,"[1004436, 872137, 1082185, 902856, 964521]"
162,163,"[874972, 1029743, 1082185, 951590, 1127831]"
163,164,"[874972, 1070803, 951590, 957736, 940766]"
164,165,"[948670, 1117219, 1070803, 8090556, 944534]"
165,166,"[1103808, 872137, 1070803, 1075368, 880888]"
166,167,"[1048257, 872137, 1082185, 833724, 962266]"
167,168,"[874972, 1082185, 951590, 1029743, 1106523]"
168,169,"[874972, 872137, 919534, 1099164, 1043494]"
169,170,"[1057749, 1070803, 951590, 960732, 1044078]"
170,171,"[829291, 872137, 1070803, 913210, 1044078]"
171,172,"[12810389, 872137, 1082185, 5569230, 1075368]"
172,173,"[874972, 1029743, 1082185, 951590, 1127831]"
173,174,"[874972, 1029743, 1082185, 951590, 1127831]"
174,175,"[874972, 872137, 1070803, 1041796, 1031083]"
175,176,"[1021324, 872137, 1070803, 832678, 950206]"
176,177,"[874972, 1029743, 951590, 1082185, 1127831]"
177,178,"[1054402, 872137, 1082185, 827656, 873627]"
178,179,"[874972, 1029743, 1082185, 951590, 1127831]"
179,180,"[1013928, 918046, 1070803, 12130522, 12263692]"
180,181,"[874972, 1106523, 5569230, 1082185, 951590]"
181,182,"[933354, 1070803, 1127831, 1083787, 1134522]"
182,183,"[982469, 872137, 868888, 8090440, 1135681]"
183,184,"[1025535, 872137, 1070803, 9835509, 9881666]"
184,185,"[919766, 872137, 1117219, 870428, 838186]"
185,186,"[874972, 1029743, 1082185, 951590, 1127831]"
186,187,"[1103808, 872137, 1070803, 962229, 983584]"
187,188,"[874972, 1029743, 1082185, 951590, 1127831]"
188,189,"[874972, 872137, 1070803, 996156, 13841744]"
189,190,"[852015, 872137, 1070803, 1110572, 1134483]"
190,191,"[1015785, 872137, 1082185, 910032, 1104349]"
191,192,"[1082627, 918046, 1070803, 1082212, 9835509]"
192,193,"[829291, 1070803, 1127831, 1125199, 1104205]"
193,194,"[1129049, 872137, 1070803, 6391381, 854852]"
194,195,"[1002787, 868888, 1070803, 1131382, 1062002]"
195,196,"[1000753, 1070803, 995242, 926905, 1096317]"
196,197,"[878715, 872137, 1070803, 9881593, 963835]"
197,198,"[1118946, 1070803, 1126899, 5570383, 1108854]"
198,199,"[874972, 872137, 1082185, 1082212, 1132771]"
199,200,"[874972, 872137, 1070803, 823990, 5568378]"
200,201,"[836445, 872137, 1070803, 1103476, 838186]"
201,202,"[1000753, 872137, 1082185, 1029743, 1051211]"
202,203,"[874972, 872137, 1082185, 1082990, 7441668]"
203,204,"[874972, 1070803, 1082185, 1070820, 923746]"
204,205,"[982469, 872137, 1070803, 1026118, 13003092]"
205,206,"[874972, 1029743, 1082185, 951590, 1127831]"
206,207,"[899019, 872137, 1070803, 1026118, 990797]"
207,208,"[956599, 1070803, 1068957, 879504, 1055425]"
208,209,"[930283, 1070803, 951590, 868764, 956599]"
209,210,"[1013928, 1070803, 1127831, 910473, 1135868]"
210,211,"[874972, 872137, 1070803, 1006878, 907099]"
211,212,"[5568758, 1068957, 1070803, 8090560, 1096317]"
212,213,"[874972, 1029743, 1082185, 951590, 1127831]"
213,214,"[917384, 951590, 5569230, 916758, 6979526]"
214,215,"[906335, 872137, 1070803, 938300, 8019977]"
215,216,"[974156, 872137, 1082185, 6533936, 974204]"
216,217,"[1075007, 872137, 1070803, 895930, 7441668]"
217,218,"[878715, 1070803, 951590, 965772, 1097001]"
218,219,"[968072, 1070803, 1117219, 1137507, 5568447]"
219,220,"[899019, 1070803, 5569230, 1005274, 1041796]"
220,221,"[874972, 872137, 1070803, 1121636, 951094]"
221,222,"[879734, 1070803, 951590, 847982, 1075786]"
222,223,"[1014732, 1070803, 5569230, 879755, 5569327]"
223,224,"[947858, 872137, 1070803, 923149, 896613]"
224,225,"[874972, 872137, 1070803, 1043663, 907631]"
225,226,"[829291, 872137, 1070803, 1102416, 948232]"
226,227,"[874972, 872137, 919534, 845193, 871722]"
227,228,"[8020166, 872137, 1070803, 1139782, 1082185]"
228,229,"[1013928, 872137, 1070803, 1082185, 1029743]"
229,230,"[938138, 1106523, 951590, 913210, 952698]"
230,231,"[874972, 1106523, 951590, 1082185, 1127831]"
231,232,"[959737, 1070803, 951590, 1016800, 844165]"
232,233,"[874972, 919534, 1082185, 1122568, 1128016]"
233,234,"[874972, 1029743, 1082185, 951590, 1127831]"
234,235,"[9677366, 1070803, 1067443, 862732, 8293343]"
235,236,"[826666, 872137, 1070803, 827999, 849505]"
236,237,"[874972, 1082185, 1106523, 951590, 1127831]"
237,238,"[948670, 872137, 1070803, 1102416, 1075368]"
238,239,"[948670, 1070803, 1068957, 1052912, 1119089]"
239,240,"[874972, 1029743, 1082185, 951590, 1127831]"
240,241,"[1021324, 872137, 919534, 12301109, 870515]"
241,242,"[1065538, 1070803, 5569230, 908504, 978343]"
242,243,"[970866, 1070803, 1117219, 6633342, 1063739]"
243,244,"[1000753, 872137, 1070803, 851468, 10284972]"
244,245,"[1000753, 872137, 1070803, 972416, 844179]"
